Country,YR2019,YR2020,YR2021,YR2022
Zimbabwe,15354608.0,15669666.0,15993524.0,16320537.0
Zambia,18380477.0,18927715.0,19473125.0,20017675.0
"Yemen, Rep.",31546691.0,32284046.0,32981641.0,33696614.0
West Bank and Gaza,4685306.0,4803269.0,4922749.0,5043612.0
Virgin Islands (U.S.),106669.0,106290.0,105870.0,105413.0
Viet Nam,95776716.0,96648685.0,97468029.0,98186856.0
"Venezuela, RB",28971683.0,28490453.0,28199867.0,28301696.0
Vanuatu,304404.0,311685.0,319137.0,326740.0
Uzbekistan,33580350.0,34232050.0,34915100.0,35648100.0
Uruguay,3428409.0,3429086.0,3426260.0,3422794.0
United States,328329953.0,331511512.0,332031554.0,333287557.0
United Kingdom,66836327.0,67081234.0,67026300.0,66971411.0
United Arab Emirates,9211657.0,9287289.0,9365145.0,9441129.0
Ukraine,44386203.0,44132049.0,43792855.0,38000000.0
Uganda,42949080.0,44404611.0,45853778.0,47249585.0
Tuvalu,10956.0,11069.0,11204.0,11312.0
Turks and Caicos Islands,43080.0,44276.0,45114.0,45703.0
Turkmenistan,6158420.0,6250438.0,6341855.0,6430770.0
Turkiye,83481684.0,84135428.0,84775404.0,85341241.0
Tunisia,12049314.0,12161723.0,12262946.0,12356117.0
Trinidad and Tobago,1519955.0,1518147.0,1525663.0,1531044.0
Tonga,104951.0,105254.0,106017.0,106858.0
Togo,8243094.0,8442580.0,8644829.0,8848699.0
Timor-Leste,1280438.0,1299995.0,1320942.0,1341296.0
Thailand,71307763.0,71475664.0,71601103.0,71697030.0
Tanzania,59872579.0,61704518.0,63588334.0,65497748.0
Tajikistan,9337003.0,9543207.0,9750064.0,9952787.0
Syrian Arab Republic,20098251.0,20772595.0,21324367.0,22125249.0
Switzerland,8575280.0,8638167.0,8703405.0,8769741.0
Sweden,10278887.0,10353442.0,10415811.0,10486941.0
Suriname,600301.0,607065.0,612985.0,618040.0
Sudan,43232093.0,44440486.0,45657202.0,46874204.0
St. Vincent and the Grenadines,104924.0,104632.0,104332.0,103948.0
St. Martin (French part),33121.0,32553.0,31948.0,31791.0
St. Lucia,178583.0,179237.0,179651.0,179857.0
St. Kitts and Nevis,47712.0,47642.0,47606.0,47657.0
Sri Lanka,21803000.0,21919000.0,22156000.0,22181000.0
Spain,47134837.0,47365655.0,47415750.0,47615034.0
South Sudan,10447666.0,10606227.0,10748272.0,10913164.0
South Africa,58087055.0,58801927.0,59392255.0,59893885.0
Somalia,15981300.0,16537016.0,17065581.0,17597511.0
Solomon Islands,674993.0,691191.0,707851.0,724273.0
Slovenia,2088385.0,2102419.0,2108079.0,2108732.0
Slovak Republic,5454147.0,5458827.0,5447247.0,5431752.0
Sint Maarten (Dutch part),41608.0,42310.0,42846.0,43389.0
Singapore,5703569.0,5685807.0,5453566.0,5637022.0
Sierra Leone,8046828.0,8233970.0,8420641.0,8605718.0
Seychelles,97625.0,98462.0,99258.0,100060.0
Serbia,6945235.0,6899126.0,6834326.0,6760087.0
Senegal,16000781.0,16436120.0,16876720.0,17316449.0
Saudi Arabia,35827362.0,35997107.0,35950396.0,36408820.0
Sao Tome and Principe,214599.0,218641.0,223107.0,227380.0
San Marino,34178.0,34007.0,33745.0,33660.0
Samoa,211905.0,214929.0,218764.0,222382.0
Rwanda,12835028.0,13146362.0,13461888.0,13776698.0
Russian Federation,144406261.0,144073139.0,143449286.0,143555736.0
Romania,19371648.0,19265250.0,19119880.0,18956666.0
Qatar,2807235.0,2760385.0,2688235.0,2695122.0
Puerto Rico,3193694.0,3281557.0,3262693.0,3221789.0
Portugal,10286263.0,10297081.0,10325147.0,10379007.0
Poland,37965475.0,37899070.0,37747124.0,37561599.0
Philippines,110380804.0,112190977.0,113880328.0,115559009.0
Peru,32824861.0,33304756.0,33715471.0,34049588.0
Paraguay,6530026.0,6618695.0,6703799.0,6780744.0
Papua New Guinea,9542486.0,9749640.0,9949437.0,10142619.0
Panama,4232532.0,4294396.0,4351267.0,4408581.0
Palau,17916.0,17972.0,18024.0,18055.0
Pakistan,223293280.0,227196741.0,231402117.0,235824862.0
Oman,4602768.0,4543399.0,4520471.0,4576298.0
Norway,5347896.0,5379475.0,5408320.0,5457127.0
Northern Mariana Islands,49858.0,49587.0,49481.0,49551.0
North Macedonia,2076694.0,2072531.0,2065092.0,2057679.0
Nigeria,203304492.0,208327405.0,213401323.0,218541212.0
Niger,23443393.0,24333639.0,25252722.0,26207977.0
Nicaragua,6663924.0,6755895.0,6850540.0,6948392.0
New Zealand,4979200.0,5090200.0,5111400.0,5124100.0
New Caledonia,271240.0,272460.0,274660.0,276780.0
Netherlands,17344874.0,17441500.0,17533044.0,17703090.0
Nepal,28832496.0,29348627.0,30034989.0,30547580.0
Nauru,12132.0,12315.0,12511.0,12668.0
Namibia,2446644.0,2489098.0,2530151.0,2567012.0
Myanmar,53040212.0,53423198.0,53798084.0,54179306.0
Mozambique,30285595.0,31178239.0,32077072.0,32969518.0
Morocco,36304408.0,36688772.0,37076584.0,37457971.0
Montenegro,622028.0,621306.0,619211.0,616159.0
Mongolia,3232430.0,3294335.0,3347782.0,3398366.0
Monaco,37034.0,36922.0,36686.0,36469.0
Moldova,2664224.0,2635130.0,2615199.0,2592477.0
"Micronesia, Fed. Sts.",111379.0,112106.0,113131.0,114164.0
Mexico,125085311.0,125998302.0,126705138.0,127504125.0
Mauritius,1265985.0,1266014.0,1266334.0,1262523.0
Mauritania,4383849.0,4498604.0,4614974.0,4736139.0
Marshall Islands,44728.0,43413.0,42050.0,41569.0
Malta,504062.0,515332.0,518536.0,523417.0
Mali,20567424.0,21224040.0,21904983.0,22593590.0
Maldives,504508.0,514438.0,521457.0,523787.0
Malaysia,32804020.0,33199993.0,33573874.0,33938221.0
Malawi,18867337.0,19377061.0,19889742.0,20405317.0
Madagascar,27533134.0,28225177.0,28915653.0,29611714.0
"Macao SAR, China",663653.0,676283.0,686607.0,695168.0
Luxembourg,620001.0,630419.0,640064.0,650774.0
Lithuania,2794137.0,2794885.0,2800839.0,2833000.0
Liechtenstein,38482.0,38756.0,39039.0,39327.0
Libya,6569088.0,6653942.0,6735277.0,6812341.0
Liberia,4985289.0,5087584.0,5193416.0,5302681.0
Lesotho,2225702.0,2254100.0,2281454.0,2305825.0
Lebanon,5781907.0,5662923.0,5592631.0,5489739.0
Latvia,1913822.0,1900449.0,1884490.0,1883379.0
Lao PDR,7212053.0,7319399.0,7425057.0,7529475.0
Kyrgyz Republic,6456200.0,6579900.0,6691800.0,6803300.0
Kuwait,4441100.0,4360444.0,4250114.0,4268873.0
Kosovo,1788878.0,1790133.0,1786038.0,1761985.0
"Korea, Rep.",51764822.0,51836239.0,51744876.0,51628117.0
"Korea, Dem. People's Rep.",25755441.0,25867467.0,25971909.0,26069416.0
Kiribati,124241.0,126463.0,128874.0,131232.0
Kenya,50951450.0,51985780.0,53005614.0,54027487.0
Kazakhstan,18513673.0,18755666.0,19000988.0,19621972.0
Jordan,10698683.0,10928721.0,11148278.0,11285869.0
Japan,126633000.0,126261000.0,125681593.0,125124989.0
Jamaica,2813773.0,2820436.0,2827695.0,2827377.0
Italy,59729081.0,59438851.0,59109668.0,58856847.0
Israel,9054000.0,9215100.0,9364700.0,9550600.0
Isle of Man,83933.0,84046.0,84263.0,84519.0
Ireland,4934340.0,4985382.0,5033165.0,5086988.0
Iraq,41563520.0,42556984.0,43533592.0,44496122.0
"Iran, Islamic Rep.",86564202.0,87290193.0,87923432.0,88550570.0
Indonesia,269582878.0,271857970.0,273753191.0,275501339.0
India,1383112050.0,1396387127.0,1407563842.0,1417173173.0
Iceland,360563.0,366463.0,372520.0,381900.0
Hungary,9771141.0,9750149.0,9709891.0,9683505.0
"Hong Kong SAR, China",7507900.0,7481000.0,7413100.0,7346100.0
Honduras,9958829.0,10121763.0,10278345.0,10432860.0
Haiti,11160438.0,11306801.0,11447569.0,11584996.0
Guyana,798753.0,797202.0,804567.0,808726.0
Guinea-Bissau,1970457.0,2015828.0,2060721.0,2105566.0
Guinea,12877539.0,13205153.0,13531906.0,13859341.0
Guatemala,16604026.0,16858333.0,17109746.0,17357886.0
Guam,168624.0,169231.0,170534.0,171774.0
Grenada,122724.0,123663.0,124610.0,125438.0
Greenland,56225.0,56367.0,56653.0,56661.0
Greece,10721582.0,10698599.0,10641221.0,10566531.0
Gibraltar,32685.0,32709.0,32669.0,32649.0
Ghana,31522290.0,32180401.0,32833031.0,33475870.0
Germany,83092962.0,83160871.0,83196078.0,84079811.0
Georgia,3720161.0,3722716.0,3708610.0,3712502.0
"Gambia, The",2508883.0,2573995.0,2639916.0,2705992.0
Gabon,2242785.0,2292573.0,2341179.0,2388992.0
French Polynesia,299717.0,301920.0,304032.0,306279.0
France,67388001.0,67571107.0,67749632.0,67935660.0
Finland,5521606.0,5529543.0,5541017.0,5556880.0
Fiji,918465.0,920422.0,924610.0,929766.0
Faroe Islands,51681.0,52415.0,52889.0,53090.0
Ethiopia,114120594.0,117190911.0,120283026.0,123379924.0
Eswatini,1169613.0,1180655.0,1192271.0,1201670.0
Estonia,1326898.0,1329522.0,1330932.0,1344768.0
Eritrea,3498818.0,3555868.0,3620312.0,3684032.0
Equatorial Guinea,1553031.0,1596049.0,1634466.0,1674908.0
El Salvador,6280217.0,6292731.0,6314167.0,6336392.0
"Egypt, Arab Rep.",105618671.0,107465134.0,109262178.0,110990103.0
Ecuador,17343740.0,17588595.0,17797737.0,18001000.0
Dominican Republic,10881882.0,10999664.0,11117873.0,11228821.0
Dominica,71428.0,71995.0,72412.0,72737.0
Djibouti,1073994.0,1090156.0,1105557.0,1120849.0
Denmark,5814422.0,5831404.0,5856733.0,5903037.0
Czechia,10671870.0,10697858.0,10505772.0,10526073.0
Cyprus,1228836.0,1237537.0,1244188.0,1251488.0
Curacao,157441.0,154947.0,152369.0,149996.0
Cuba,11316697.0,11300698.0,11256372.0,11212191.0
Croatia,4065253.0,4047680.0,3879000.0,3854000.0
Cote d'Ivoire,26147551.0,26811790.0,27478249.0,28160542.0
Costa Rica,5084532.0,5123105.0,5153957.0,5180829.0
"Congo, Rep.",5570733.0,5702174.0,5835806.0,5970424.0
"Congo, Dem. Rep.",89906890.0,92853164.0,95894118.0,99010212.0
Comoros,790986.0,806166.0,821625.0,836774.0
Colombia,50187406.0,50930662.0,51516562.0,51874024.0
China,1407745000.0,1411100000.0,1412360000.0,1412175000.0
Chile,19039485.0,19300315.0,19493184.0,19603733.0
Channel Islands,169410.0,171113.0,172683.0,174079.0
